,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'anim'}),frozenset({'favorit'}),0.03315363881401617,0.7159703504043127,0.023517520215633424,0.709349593495935,0.9907527498804399,-0.00021950218321575496,0.9772208923152319
1,frozenset({'color'}),frozenset({'favorit'}),0.02446091644204852,0.7159703504043127,0.02324797843665768,0.9504132231404958,1.3274477394263489,0.005734687520433591,5.727931266846355
2,frozenset({'comment'}),frozenset({'favorit'}),0.04292452830188679,0.7159703504043127,0.029380053908355797,0.6844583987441131,0.9559870717517777,-0.0013526356608859237,0.9001337651365814
3,frozenset({'game'}),frozenset({'favorit'}),0.06900269541778976,0.7159703504043127,0.0488544474393531,0.7080078124999999,0.988878676470588,-0.0005494365777638996,0.9727303049698452
4,frozenset({'give'}),frozenset({'favorit'}),0.028436657681940702,0.7159703504043127,0.0204177897574124,0.7180094786729857,1.0028480624477278,5.798599254582329e-05,1.007231194364538
5,frozenset({'guess'}),frozenset({'favorit'}),0.04319407008086253,0.7159703504043127,0.031132075471698113,0.7207488299531981,1.0066741304946316,0.00020640198051452563,1.0171117619599752
6,frozenset({'ill'}),frozenset({'favorit'}),0.08942048517520215,0.7159703504043127,0.06233153638814016,0.6970610399397137,0.9735892548428565,-0.001690879716072978,0.9375804602325302
7,frozenset({'im'}),frozenset({'favorit'}),0.03477088948787062,0.7159703504043127,0.025808625336927224,0.742248062015504,1.036702234382125,0.0009136994064268648,1.101949617980261
8,frozenset({'movi'}),frozenset({'favorit'}),0.046091644204851755,0.7159703504043127,0.030660377358490566,0.665204678362573,0.929095287237702,-0.002339873293568051,0.8483680363469436
9,frozenset({'music'}),frozenset({'favorit'}),0.04009433962264151,0.7159703504043127,0.027358490566037737,0.6823529411764706,0.9530463667820069,-0.0013478678228144199,0.8941674153938305
10,frozenset({'rate'}),frozenset({'favorit'}),0.05195417789757412,0.7159703504043127,0.0362533692722372,0.6977950713359274,0.97461448081178,-0.0009442816820569438,0.9398577675462446
11,frozenset({'song'}),frozenset({'favorit'}),0.15498652291105122,0.7159703504043127,0.1103099730458221,0.7117391304347825,0.994090230179028,-0.0006557820707492751,0.9853215596833796
12,frozenset({'favorit'}),frozenset({'song'}),0.7159703504043127,0.15498652291105122,0.1103099730458221,0.15407058823529413,0.9940902301790281,-0.0006557820707492751,0.9989172445560839
13,frozenset({'thing'}),frozenset({'favorit'}),0.029514824797843665,0.7159703504043127,0.021361185983827493,0.723744292237443,1.0108579102874027,0.0002294465311934689,1.0281403844868684
14,frozenset({'ur'}),frozenset({'favorit'}),0.03247978436657682,0.7159703504043127,0.02142857142857143,0.6597510373443983,0.9214781547473762,-0.0018259911654230944,0.8347700677141542
15,frozenset({'video'}),frozenset({'favorit'}),0.03369272237196765,0.7159703504043127,0.02425876010781671,0.7200000000000001,1.0056282352941177,0.00013576986508380753,1.0143916056988835
16,frozenset({'what'}),frozenset({'favorit'}),0.21320754716981133,0.7159703504043127,0.14912398921832884,0.6994310998735778,0.9768995314940135,-0.0035262930376850077,0.9449735134813404
17,frozenset({'favorit'}),frozenset({'what'}),0.7159703504043127,0.21320754716981133,0.14912398921832884,0.20828235294117647,0.9768995314940135,-0.0035262930376850077,0.9937791026296664
18,frozenset({'yall'}),frozenset({'favorit'}),0.025741239892183288,0.7159703504043127,0.021091644204851753,0.8193717277486912,1.1444213119802895,0.002661679659403813,1.572454002109458
19,frozenset({'game'}),frozenset({'favourit'}),0.06900269541778976,0.2819407008086253,0.020013477088948788,0.2900390625,1.0287236346797324,0.0005588087851730213,1.0114067708005057
20,frozenset({'ill'}),frozenset({'favourit'}),0.08942048517520215,0.2819407008086253,0.027021563342318058,0.3021853805576488,1.0718047436604945,0.0018102890853742733,1.029011544305566
21,frozenset({'song'}),frozenset({'favourit'}),0.15498652291105122,0.2819407008086253,0.04433962264150943,0.2860869565217391,1.014706126860088,0.0006426137560755843,1.0058077881486978
22,frozenset({'favourit'}),frozenset({'song'}),0.2819407008086253,0.15498652291105122,0.04433962264150943,0.15726577437858508,1.014706126860088,0.0006426137560755843,1.0027045910777543
23,frozenset({'what'}),frozenset({'favourit'}),0.21320754716981133,0.2819407008086253,0.06361185983827493,0.29835651074589126,1.058224335437148,0.0034999745715302844,1.0233962264150942
24,frozenset({'favourit'}),frozenset({'what'}),0.2819407008086253,0.21320754716981133,0.06361185983827493,0.22562141491395793,1.0582243354371477,0.0034999745715302844,1.0160307477288608
25,frozenset({'video'}),frozenset({'game'}),0.03369272237196765,0.06900269541778976,0.02486522911051213,0.7380000000000001,10.695234375,0.022540340450883094,3.5534248266496586
26,frozenset({'game'}),frozenset({'video'}),0.06900269541778976,0.03369272237196765,0.02486522911051213,0.3603515625,10.695234375,0.022540340450883094,1.5106849653299315
27,frozenset({'rate'}),frozenset({'ill'}),0.05195417789757412,0.08942048517520215,0.03234501347708895,0.622568093385214,6.962253583900962,0.02769924568260911,2.412566343401784
28,frozenset({'ill'}),frozenset({'rate'}),0.08942048517520215,0.05195417789757412,0.03234501347708895,0.3617181612660136,6.962253583900962,0.02769924568260911,1.4853090979101762
29,frozenset({'ill'}),frozenset({'song'}),0.08942048517520215,0.15498652291105122,0.028706199460916442,0.32102486812358705,2.071308279545231,0.014847229386592657,1.244542601661526
30,frozenset({'song'}),frozenset({'ill'}),0.15498652291105122,0.08942048517520215,0.028706199460916442,0.1852173913043478,2.071308279545231,0.014847229386592657,1.1175735774263793
31,frozenset({'rate'}),frozenset({'song'}),0.05195417789757412,0.15498652291105122,0.02095687331536388,0.4033722438391699,2.602627868944905,0.01290467593231668,1.4163160670338686
32,frozenset({'song'}),frozenset({'rate'}),0.15498652291105122,0.05195417789757412,0.02095687331536388,0.13521739130434782,2.602627868944905,0.01290467593231668,1.096282247780583
33,frozenset({'song'}),frozenset({'what'}),0.15498652291105122,0.21320754716981133,0.030929919137466306,0.19956521739130434,0.9360138514813389,-0.0021143772567766943,0.9829563506297847
34,frozenset({'what'}),frozenset({'song'}),0.21320754716981133,0.15498652291105122,0.030929919137466306,0.14506953223767383,0.9360138514813389,-0.0021143772567766943,0.9884002371569072
35,"frozenset({'rate', 'ill'})",frozenset({'favorit'}),0.03234501347708895,0.7159703504043127,0.022506738544474394,0.6958333333333333,0.9718745098039215,-0.0006513320885491967,0.9337961082597939
36,"frozenset({'rate', 'favorit'})",frozenset({'ill'}),0.0362533692722372,0.08942048517520215,0.022506738544474394,0.620817843866171,6.94268033381611,0.01926494467491518,2.401430289096771
37,"frozenset({'ill', 'favorit'})",frozenset({'rate'}),0.06233153638814016,0.05195417789757412,0.022506738544474394,0.3610810810810811,6.94999123637256,0.019268354814335847,1.483828063358281
38,frozenset({'rate'}),"frozenset({'ill', 'favorit'})",0.05195417789757412,0.06233153638814016,0.022506738544474394,0.43320363164721143,6.9499912363725596,0.019268354814335847,1.6543304014753866
39,frozenset({'ill'}),"frozenset({'rate', 'favorit'})",0.08942048517520215,0.0362533692722372,0.022506738544474394,0.25169555388093445,6.94268033381611,0.01926494467491518,1.2879071288778865
40,"frozenset({'ill', 'song'})",frozenset({'favorit'}),0.028706199460916442,0.7159703504043127,0.02021563342318059,0.704225352112676,0.9835956917978458,-0.0003371542636278445,0.9602907200616094
41,"frozenset({'ill', 'favorit'})",frozenset({'song'}),0.06233153638814016,0.15498652291105122,0.02021563342318059,0.32432432432432434,2.092596944770858,0.010555085330679084,1.2506199460916443
42,"frozenset({'song', 'favorit'})",frozenset({'ill'}),0.1103099730458221,0.08942048517520215,0.02021563342318059,0.1832620647525962,2.0494416284314454,0.010351662113759708,1.1148980297443485
43,frozenset({'ill'}),"frozenset({'song', 'favorit'})",0.08942048517520215,0.1103099730458221,0.02021563342318059,0.22607385079125847,2.049441628431445,0.010351662113759708,1.1495800056165473
44,frozenset({'song'}),"frozenset({'ill', 'favorit'})",0.15498652291105122,0.06233153638814016,0.02021563342318059,0.13043478260869562,2.0925969447708574,0.010555085330679084,1.0783187331536388
45,"frozenset({'song', 'what'})",frozenset({'favorit'}),0.030929919137466306,0.7159703504043127,0.020013477088948788,0.6470588235294118,0.9037508650519032,-0.0021314279538800183,0.8047506738544475
46,"frozenset({'song', 'favorit'})",frozenset({'what'}),0.1103099730458221,0.21320754716981133,0.020013477088948788,0.18142944410507025,0.8509522599618339,-0.003505441692518943,0.9611785412559841
47,"frozenset({'what', 'favorit'})",frozenset({'song'}),0.14912398921832884,0.15498652291105122,0.020013477088948788,0.1342069588793493,0.8659266390302364,-0.0030987314826250896,0.9759993866377055
48,frozenset({'song'}),"frozenset({'what', 'favorit'})",0.15498652291105122,0.14912398921832884,0.020013477088948788,0.1291304347826087,0.8659266390302363,-0.0030987314826250896,0.9770418496244851
